Temp,Humidity,Presure,Label
31.58,62.18,1012.87,blazing_sun
31.59,62.27,1012.89,blazing_sun
31.59,62.96,1012.88,blazing_sun
31.61,62.92,1012.89,blazing_sun
31.59,63.02,1012.89,blazing_sun
31.55,63.23,1012.89,blazing_sun
31.46,63.27,1012.86,blazing_sun
31.46,62.43,1012.87,blazing_sun
31.51,61.9,1012.85,blazing_sun
31.57,61.46,1012.89,blazing_sun
31.64,61.13,1012.87,blazing_sun
31.66,61,1012.86,blazing_sun
31.68,60.75,1012.87,blazing_sun
31.69,60.65,1012.88,blazing_sun
31.7,61.36,1012.87,blazing_sun
31.71,61.08,1012.84,blazing_sun
31.71,61.13,1012.86,blazing_sun
31.72,61.57,1012.86,blazing_sun
31.71,61.47,1012.84,blazing_sun
31.69,60.79,1012.86,blazing_sun
31.69,60.94,1012.87,blazing_sun
31.7,61.05,1012.84,blazing_sun
31.71,60.97,1012.86,blazing_sun
31.69,60.56,1012.84,blazing_sun
31.76,60.25,1012.85,blazing_sun
31.86,59.92,1012.85,blazing_sun
31.96,59.62,1012.84,blazing_sun
32.04,59.42,1012.86,blazing_sun
32.11,59.27,1012.83,blazing_sun
32.2,59.23,1012.87,blazing_sun
32.26,58.85,1012.91,blazing_sun
32.32,58.43,1012.85,blazing_sun
32.37,58.26,1012.86,blazing_sun
32.42,58.03,1012.82,blazing_sun
32.46,57.92,1012.81,blazing_sun
32.51,57.76,1012.84,blazing_sun
32.53,57.69,1012.82,blazing_sun
32.57,57.64,1012.83,blazing_sun
32.6,57.58,1012.85,blazing_sun
32.66,57.37,1012.83,blazing_sun
32.68,57.56,1012.83,blazing_sun
32.7,57.88,1012.84,blazing_sun
32.72,57.76,1012.84,blazing_sun
32.75,57.49,1012.82,blazing_sun
32.78,57.26,1012.83,blazing_sun
32.81,57.23,1012.84,blazing_sun
32.83,57.25,1012.82,blazing_sun
32.85,57.24,1012.81,blazing_sun
32.88,57.28,1012.8,blazing_sun
32.91,57.35,1012.81,blazing_sun
32.92,57.49,1012.84,blazing_sun
32.93,57.52,1012.8,blazing_sun
32.91,57.54,1012.83,blazing_sun
32.93,57.46,1012.83,blazing_sun
32.93,57.34,1012.86,blazing_sun
32.95,57.04,1012.82,blazing_sun
32.94,56.93,1012.85,blazing_sun
32.96,56.82,1012.83,blazing_sun
32.97,56.91,1012.83,blazing_sun
33,56.84,1012.83,blazing_sun
33.01,56.83,1012.86,blazing_sun
33.02,56.77,1012.82,blazing_sun
33.03,56.7,1012.82,blazing_sun
33.03,56.55,1012.84,blazing_sun
33.02,56.35,1012.83,blazing_sun
33,56.57,1012.83,blazing_sun
33.01,56.79,1012.82,blazing_sun
33.04,56.85,1012.81,blazing_sun
33.06,56.82,1012.84,blazing_sun
33.07,56.64,1012.85,blazing_sun
33.08,56.91,1012.8,blazing_sun
33.08,57.01,1012.85,blazing_sun
33.08,57.29,1012.79,blazing_sun
33.07,57.14,1012.83,blazing_sun
33.08,57.19,1012.81,blazing_sun
33.08,56.96,1012.79,blazing_sun
33.07,56.77,1012.83,blazing_sun
33.07,56.52,1012.82,blazing_sun
33.04,56.47,1012.82,blazing_sun
33.03,56.41,1012.87,blazing_sun
33.01,56.36,1012.79,blazing_sun
33,56.37,1012.76,blazing_sun
32.98,56.45,1012.82,blazing_sun
32.98,56.49,1012.78,blazing_sun
32.97,56.5,1012.8,blazing_sun
32.97,56.53,1012.8,blazing_sun
32.96,56.57,1012.79,blazing_sun
32.96,56.54,1012.8,blazing_sun
32.96,56.59,1012.81,blazing_sun
32.97,56.65,1012.83,blazing_sun
32.98,56.69,1012.8,blazing_sun
32.98,56.8,1012.82,blazing_sun
32.99,56.68,1012.77,blazing_sun
32.98,56.62,1012.8,blazing_sun
32.97,56.63,1012.82,blazing_sun
32.98,56.69,1012.79,blazing_sun
32.97,56.69,1012.77,blazing_sun
32.96,56.95,1012.81,blazing_sun
32.95,57.02,1012.84,blazing_sun
32.91,57.35,1012.81,blazing_sun
32.95,56.97,1012.84,blazing_sun
32.95,56.81,1012.79,blazing_sun
32.9,57.22,1012.8,blazing_sun
32.91,57.14,1012.81,blazing_sun
32.93,57.28,1012.79,blazing_sun
32.93,57.27,1012.78,blazing_sun
32.94,57.13,1012.77,blazing_sun
32.95,57.13,1012.81,blazing_sun
32.93,57.29,1012.77,blazing_sun
32.92,57.34,1012.79,blazing_sun
32.94,57.42,1012.79,blazing_sun
32.94,57.45,1012.77,blazing_sun
32.94,57.28,1012.79,blazing_sun
32.95,57.4,1012.75,blazing_sun
32.94,57.24,1012.79,blazing_sun
32.93,57.45,1012.8,blazing_sun
32.93,57.61,1012.82,blazing_sun
32.91,57.28,1012.78,blazing_sun
32.92,57.21,1012.79,blazing_sun
32.87,56.92,1012.78,blazing_sun
32.85,57.01,1012.79,blazing_sun
32.85,57.08,1012.76,blazing_sun
32.87,57.13,1012.8,blazing_sun
32.87,57.23,1012.77,blazing_sun
32.88,57.32,1012.82,blazing_sun
32.88,57.36,1012.77,blazing_sun
32.88,57.24,1012.78,blazing_sun
32.88,57.21,1012.77,blazing_sun
32.89,57.11,1012.75,blazing_sun
32.89,56.98,1012.76,blazing_sun
32.9,56.93,1012.74,blazing_sun
32.91,56.91,1012.75,blazing_sun
32.9,56.91,1012.77,blazing_sun
32.9,56.85,1012.74,blazing_sun
32.91,56.85,1012.75,blazing_sun
32.9,56.9,1012.73,blazing_sun
32.9,56.96,1012.74,blazing_sun
32.92,57.09,1012.73,blazing_sun
32.9,57.48,1012.74,blazing_sun
32.87,57.62,1012.74,blazing_sun
32.89,57.3,1012.78,blazing_sun
32.89,57.18,1012.78,blazing_sun
32.9,57.16,1012.77,blazing_sun
32.92,57.02,1012.79,blazing_sun
32.93,57.04,1012.82,blazing_sun
32.94,56.98,1012.76,blazing_sun
32.95,56.94,1012.77,blazing_sun
32.96,56.86,1012.8,blazing_sun
32.98,56.8,1012.75,blazing_sun
32.98,56.61,1012.75,blazing_sun
33,56.54,1012.76,blazing_sun
32.99,56.67,1012.74,blazing_sun
32.98,56.75,1012.75,blazing_sun
32.99,56.54,1012.74,blazing_sun
32.99,56.52,1012.74,blazing_sun
32.99,56.38,1012.74,blazing_sun
32.99,56.3,1012.73,blazing_sun
32.99,56.33,1012.72,blazing_sun
32.99,56.4,1012.74,blazing_sun
32.99,56.49,1012.74,blazing_sun
32.99,56.51,1012.73,blazing_sun
32.99,56.52,1012.74,blazing_sun
32.99,56.74,1012.73,blazing_sun
32.99,56.74,1012.71,blazing_sun
32.99,56.69,1012.73,blazing_sun
32.98,56.62,1012.71,blazing_sun
32.98,56.4,1012.72,blazing_sun
32.98,56.21,1012.71,blazing_sun
32.98,56.14,1012.74,blazing_sun
32.98,56.2,1012.73,blazing_sun
32.97,56.34,1012.75,blazing_sun
32.97,56.23,1012.72,blazing_sun
32.96,56.28,1012.74,blazing_sun
32.96,56.3,1012.73,blazing_sun
32.95,56.24,1012.71,blazing_sun
32.95,56.32,1012.74,blazing_sun
32.92,56.42,1012.73,blazing_sun
32.92,56.41,1012.75,blazing_sun
32.92,56.52,1012.77,blazing_sun
32.91,56.59,1012.72,blazing_sun
32.92,56.55,1012.73,blazing_sun
32.93,56.44,1012.71,blazing_sun
32.9,56.56,1012.71,blazing_sun
32.9,56.88,1012.71,blazing_sun
32.89,57.04,1012.71,blazing_sun
32.88,57.18,1012.73,blazing_sun
32.87,56.89,1012.67,blazing_sun
32.87,56.71,1012.69,blazing_sun
32.87,56.58,1012.68,blazing_sun
32.85,56.75,1012.64,blazing_sun
32.86,57,1012.66,blazing_sun
32.86,57.04,1012.7,blazing_sun
32.86,57.01,1012.68,blazing_sun
32.86,57.02,1012.71,blazing_sun
32.88,56.97,1012.71,blazing_sun
32.88,57.17,1012.72,blazing_sun
32.86,57.14,1012.71,blazing_sun
32.85,57.25,1012.7,blazing_sun
32.84,57.04,1012.65,blazing_sun
32.83,57.01,1012.68,blazing_sun
32.82,57.05,1012.66,blazing_sun
32.82,57.03,1012.7,blazing_sun
32.81,56.99,1012.72,blazing_sun
32.8,56.99,1012.71,blazing_sun
32.8,57.08,1012.67,blazing_sun
32.82,56.92,1012.69,blazing_sun
32.81,56.93,1012.67,blazing_sun
32.81,56.96,1012.65,blazing_sun
32.8,57.06,1012.71,blazing_sun
32.81,57.05,1012.67,blazing_sun
32.8,57.11,1012.69,blazing_sun
32.8,57.06,1012.67,blazing_sun
32.79,57.09,1012.68,blazing_sun
32.79,57.11,1012.65,blazing_sun
32.79,57.1,1012.72,blazing_sun
32.79,57.11,1012.68,blazing_sun
32.8,57.02,1012.69,blazing_sun
32.79,57.18,1012.67,blazing_sun
32.79,57.17,1012.67,blazing_sun
32.79,57.05,1012.66,blazing_sun
32.78,57.12,1012.67,blazing_sun
32.78,57.16,1012.68,blazing_sun
32.78,57.13,1012.69,blazing_sun
32.8,57.05,1012.69,blazing_sun
32.8,57.13,1012.67,blazing_sun
32.8,57.13,1012.67,blazing_sun
32.8,57.04,1012.69,blazing_sun
32.8,56.98,1012.68,blazing_sun
32.79,57.17,1012.68,blazing_sun
32.8,57.29,1012.68,blazing_sun
32.79,57.23,1012.67,blazing_sun
32.77,57.06,1012.65,blazing_sun
32.74,56.99,1012.66,blazing_sun
32.72,56.89,1012.67,blazing_sun
32.7,56.88,1012.65,blazing_sun
32.7,56.92,1012.68,blazing_sun
32.69,56.89,1012.67,blazing_sun
32.68,56.94,1012.64,blazing_sun
32.65,56.85,1012.66,blazing_sun
32.65,56.91,1012.7,blazing_sun
32.64,56.92,1012.69,blazing_sun
32.63,56.99,1012.67,blazing_sun
32.63,57.04,1012.67,blazing_sun
32.63,57.09,1012.65,blazing_sun
32.61,57.26,1012.67,blazing_sun
32.62,57.3,1012.66,blazing_sun
32.62,57.43,1012.63,blazing_sun
32.59,57.44,1012.66,blazing_sun
32.6,57.46,1012.66,blazing_sun
32.62,57.46,1012.65,blazing_sun
32.63,57.48,1012.63,blazing_sun
32.63,57.64,1012.68,blazing_sun
32.61,57.75,1012.67,blazing_sun
32.62,57.88,1012.69,blazing_sun
32.61,57.83,1012.65,blazing_sun
32.62,57.73,1012.65,blazing_sun
32.63,57.62,1012.65,blazing_sun
32.62,57.6,1012.65,blazing_sun
32.62,57.65,1012.64,blazing_sun
32.63,57.79,1012.65,blazing_sun
32.63,57.86,1012.64,blazing_sun
32.64,57.94,1012.62,blazing_sun
32.63,58.12,1012.67,blazing_sun
32.62,58.06,1012.66,blazing_sun
32.62,58.06,1012.63,blazing_sun
32.62,58.07,1012.63,blazing_sun
32.62,58.04,1012.65,blazing_sun
32.6,58.17,1012.64,blazing_sun
32.59,58.58,1012.61,blazing_sun
32.56,58.85,1012.62,blazing_sun
32.51,59.07,1012.61,blazing_sun
32.48,59.34,1012.66,blazing_sun
32.48,59.57,1012.65,blazing_sun
32.47,59.74,1012.6,blazing_sun
32.46,59.8,1012.63,blazing_sun
32.45,59.92,1012.61,blazing_sun
32.47,60.06,1012.63,blazing_sun
32.47,59.73,1012.59,blazing_sun
32.47,59.54,1012.64,blazing_sun
32.49,59.45,1012.59,blazing_sun
32.5,59.33,1012.6,blazing_sun
32.52,59.25,1012.64,blazing_sun
32.53,59.4,1012.64,blazing_sun
32.53,59.79,1012.62,blazing_sun
32.52,59.85,1012.61,blazing_sun
32.51,59.54,1012.6,blazing_sun
32.48,59.5,1012.58,blazing_sun
32.44,59.49,1012.59,blazing_sun
32.42,59.48,1012.61,blazing_sun
32.42,59.8,1012.61,blazing_sun
32.36,60.46,1012.61,blazing_sun
32.37,60.63,1012.61,blazing_sun
32.37,60.63,1012.62,blazing_sun
32.36,60.26,1012.61,blazing_sun
32.35,60.41,1012.58,blazing_sun
32.36,60.41,1012.59,blazing_sun
32.39,60.23,1012.62,blazing_sun
32.41,60.04,1012.61,blazing_sun
32.41,60.18,1012.6,blazing_sun
32.39,60.51,1012.62,blazing_sun
32.39,60.38,1012.59,blazing_sun
32.39,60.3,1012.6,blazing_sun
32.4,60.16,1012.61,blazing_sun
32.43,60.09,1012.6,blazing_sun
32.46,60.02,1012.59,blazing_sun
32.49,59.89,1012.61,blazing_sun
32.49,59.4,1012.61,blazing_sun
32.52,59.12,1012.58,blazing_sun
32.51,58.65,1012.6,blazing_sun
32.49,58.58,1012.57,blazing_sun
32.53,58.67,1012.6,blazing_sun
32.56,58.68,1012.6,blazing_sun
32.59,58.63,1012.61,blazing_sun
32.62,58.46,1012.61,blazing_sun
32.63,58.26,1012.56,blazing_sun
32.66,58.11,1012.63,blazing_sun
32.68,58.01,1012.59,blazing_sun
32.69,57.9,1012.57,blazing_sun
32.71,57.85,1012.59,blazing_sun
32.73,57.78,1012.58,blazing_sun
32.73,57.76,1012.55,blazing_sun
32.73,57.86,1012.59,blazing_sun
32.73,58.12,1012.59,blazing_sun
32.75,58.37,1012.6,blazing_sun
32.74,58.32,1012.59,blazing_sun
32.72,58.46,1012.62,blazing_sun
32.72,58.58,1012.62,blazing_sun
32.74,58.61,1012.59,blazing_sun
32.76,58.75,1012.59,blazing_sun
32.74,58.84,1012.61,blazing_sun
32.69,58.63,1012.59,blazing_sun
32.61,58.88,1012.6,blazing_sun
32.56,58.81,1012.6,blazing_sun
32.59,58.9,1012.62,blazing_sun
32.61,58.96,1012.6,blazing_sun
32.62,59,1012.57,blazing_sun
32.59,59.14,1012.6,blazing_sun
32.56,59.01,1012.57,blazing_sun
32.51,59.04,1012.57,blazing_sun
32.54,58.99,1012.56,blazing_sun
32.51,59,1012.55,blazing_sun
32.51,59.17,1012.55,blazing_sun
32.54,59.13,1012.55,blazing_sun
32.55,59.15,1012.57,blazing_sun
32.6,59.19,1012.57,blazing_sun
32.57,59.41,1012.59,blazing_sun
32.56,59.47,1012.56,blazing_sun
32.59,59.46,1012.55,blazing_sun
32.62,59.28,1012.59,blazing_sun
32.63,59.03,1012.55,blazing_sun
32.65,58.91,1012.53,blazing_sun
32.67,58.76,1012.51,blazing_sun
32.68,58.73,1012.52,blazing_sun
32.7,58.64,1012.55,blazing_sun
32.71,58.56,1012.54,blazing_sun
32.71,58.44,1012.54,blazing_sun
32.73,58.37,1012.56,blazing_sun
32.73,58.37,1012.54,blazing_sun
32.73,58.55,1012.55,blazing_sun
32.72,58.66,1012.54,blazing_sun
32.72,58.31,1012.55,blazing_sun
32.73,58.06,1012.53,blazing_sun
32.72,57.97,1012.55,blazing_sun
32.73,57.92,1012.53,blazing_sun
32.72,57.92,1012.53,blazing_sun
32.74,58.11,1012.52,blazing_sun
32.72,58.38,1012.53,blazing_sun
32.73,58.9,1012.52,blazing_sun
32.73,58.93,1012.49,blazing_sun
32.75,58.91,1012.52,blazing_sun
32.76,58.88,1012.53,blazing_sun
32.74,58.81,1012.53,blazing_sun
32.75,58.74,1012.49,blazing_sun
32.75,58.6,1012.54,blazing_sun
32.75,58.52,1012.51,blazing_sun
32.76,58.45,1012.53,blazing_sun
32.77,58.36,1012.5,blazing_sun
32.78,58.3,1012.52,blazing_sun
32.8,58.21,1012.54,blazing_sun
32.79,58.09,1012.52,blazing_sun
32.79,58.1,1012.55,blazing_sun
