Temp,Humidity,Presure
30.66,66.01,1009.46
30.65,65.99,1009.47
30.64,65.98,1009.47
30.63,66.08,1009.45
30.63,66.14,1009.46
30.61,67.19,1009.44
30.61,66.41,1009.46
30.61,66.04,1009.46
30.6,66.17,1009.42
30.6,66.4,1009.46
30.59,66.29,1009.47
30.6,66.27,1009.46
30.61,66.93,1009.45
30.61,67.75,1009.46
30.58,67.6,1009.42
30.57,67.2,1009.45
30.55,67.04,1009.46
30.55,66.29,1009.44
30.55,66.12,1009.42
30.55,66.02,1009.44
30.55,66.02,1009.46
30.54,66.79,1009.44
30.55,66.53,1009.42
30.55,66.06,1009.42
30.58,65.87,1009.43
30.58,66.14,1009.43
30.6,65.96,1009.48
30.63,65.67,1009.48
30.65,65.57,1009.48
30.66,65.62,1009.45
30.67,65.84,1009.46
30.67,65.5,1009.45
30.67,65.49,1009.45
30.68,65.61,1009.45
30.68,65.6,1009.49
30.7,65.69,1009.47
30.71,65.77,1009.45
30.72,65.69,1009.46
30.72,65.6,1009.48
30.73,65.61,1009.49
30.73,65.64,1009.48
30.75,65.81,1009.48
30.76,65.99,1009.48
30.75,66.25,1009.47
30.75,66.13,1009.49
30.75,65.98,1009.48
30.76,65.81,1009.48
30.78,65.77,1009.46
30.78,65.85,1009.47
30.79,65.68,1009.51
30.79,65.47,1009.51
30.8,65.45,1009.52
30.81,65.61,1009.49
30.81,65.43,1009.49
30.82,65.37,1009.49
30.83,65.4,1009.5
30.83,65.34,1009.5
30.84,65.3,1009.51
30.85,65.89,1009.5
30.85,65.43,1009.48
30.87,65.28,1009.5
30.87,65.35,1009.49
30.87,65.47,1009.5
30.87,65.46,1009.49
30.88,65.39,1009.51
30.9,65.12,1009.49
30.91,65.03,1009.5
30.92,65.25,1009.49
30.87,65.97,1009.49
30.84,65.94,1009.49
30.82,65.83,1009.51
30.8,65.91,1009.52
30.78,65.71,1009.5
30.76,65.79,1009.5
30.75,66.37,1009.5
30.74,65.93,1009.5
30.72,66.43,1009.51
30.72,66.22,1009.49
30.7,66.35,1009.48
30.72,66.41,1009.49
30.73,66.3,1009.5
30.74,66.39,1009.5
30.75,66.24,1009.55
30.75,67.37,1009.5
30.76,66.54,1009.5
30.77,66.45,1009.52
30.78,66.3,1009.53
30.78,66.35,1009.51
30.79,66.28,1009.52
30.81,66.28,1009.53
30.82,65.95,1009.53
30.82,65.94,1009.48
30.83,65.8,1009.51
30.84,65.87,1009.52
30.84,65.93,1009.53
30.84,65.94,1009.54
30.84,65.9,1009.51
30.86,65.88,1009.52
30.87,65.88,1009.52
30.87,65.88,1009.51
30.87,65.9,1009.51
30.88,66,1009.53
30.89,65.92,1009.53
30.9,65.94,1009.52
30.9,65.82,1009.53
30.91,65.81,1009.54
30.92,66.15,1009.54
30.92,66.17,1009.55
30.88,66.78,1009.52
30.88,66.19,1009.54
30.84,67.12,1009.53
30.81,67,1009.52
30.78,67.82,1009.53
30.75,67.43,1009.56
30.77,66.78,1009.55
30.76,66.87,1009.54
30.77,66.6,1009.54
30.78,66.39,1009.54
30.78,66.44,1009.54
30.77,66.87,1009.55
30.73,67.87,1009.55
30.71,67.37,1009.56
30.71,66.82,1009.56
30.68,67.41,1009.55
30.66,67.13,1009.53
30.68,66.65,1009.53
30.68,67.37,1009.54
30.71,66.67,1009.55
30.72,66.7,1009.53
30.74,66.68,1009.55
30.73,66.83,1009.51
30.71,67.04,1009.54
30.69,67.49,1009.55
30.68,67.5,1009.52
30.7,67.88,1009.56
30.69,67.75,1009.53
30.69,68.29,1009.52
30.69,68.64,1009.54
30.68,69.19,1009.56
30.65,68.4,1009.56
30.63,68.37,1009.52
30.63,68.76,1009.52
