Temp,Humidity,Presure
27.5,78.58,1012.72
27.5,78.54,1012.72
27.5,78.53,1012.7
27.49,78.74,1012.68
27.5,78.75,1012.68
27.5,78.76,1012.71
27.48,78.68,1012.69
27.45,78.72,1012.69
27.44,78.84,1012.68
27.42,78.96,1012.69
27.42,79.04,1012.7
27.42,78.94,1012.68
27.41,78.96,1012.68
27.42,79,1012.69
27.41,79.1,1012.69
27.42,79.17,1012.7
27.44,79.19,1012.69
27.44,79.18,1012.69
27.44,79.19,1012.72
27.45,79.23,1012.71
27.46,79.19,1012.68
27.46,78.99,1012.69
27.46,78.9,1012.7
27.46,78.99,1012.71
27.47,79.05,1012.72
27.48,79.03,1012.7
27.48,79,1012.71
27.49,78.97,1012.71
27.49,78.9,1012.7
27.49,78.81,1012.73
27.5,78.8,1012.71
27.5,78.79,1012.72
27.51,78.77,1012.71
27.52,78.72,1012.72
27.53,78.7,1012.71
27.53,78.68,1012.71
27.53,78.76,1012.73
27.53,0,1012.72
27.54,78.69,1012.72
27.56,78.68,1012.71
27.57,78.68,1012.75
27.57,78.77,1012.71
27.59,78.76,1012.75
27.59,78.7,1012.71
27.6,78.79,1012.71
27.57,78.73,1012.72
27.54,78.74,1012.67
27.53,78.85,1012.71
27.52,78.89,1012.7
27.52,78.97,1012.71
27.51,78.91,1012.73
27.52,79.06,1012.74
27.52,79.11,1012.7
27.53,79.23,1012.74
27.53,79.03,1012.71
27.53,79.09,1012.73
27.53,79.08,1012.73
27.52,79.01,1012.73
27.52,78.94,1012.74
27.51,79.03,1012.7
27.52,79.05,1012.77
27.52,78.96,1012.76
27.52,79.07,1012.74
27.53,79.15,1012.76
27.53,79.03,1012.74
27.53,79.02,1012.75
27.51,78.92,1012.73
27.49,78.97,1012.78
27.49,79.04,1012.75
27.48,79,1012.74
27.48,79,1012.74
27.47,79.12,1012.76
27.48,79.27,1012.75
27.49,79.14,1012.75
27.48,79.22,1012.74
27.48,79.16,1012.76
27.48,79.16,1012.74
27.49,79.2,1012.77
27.5,79.35,1012.75
27.51,79.4,1012.75
27.52,79.5,1012.74
27.51,79.38,1012.78
27.52,79.32,1012.77
27.52,79.21,1012.75
27.52,79.27,1012.75
27.51,79.22,1012.76
27.52,79.25,1012.8
27.51,79.34,1012.76
27.51,79.39,1012.78
27.5,79.18,1012.76
27.48,79.15,1012.76
27.47,79.3,1012.75
27.47,79.3,1012.77
27.46,79.2,1012.78
27.45,79.1,1012.76
27.44,79.12,1012.77
27.41,79.22,1012.77
27.4,79.29,1012.77
27.4,79.42,1012.78
27.4,79.49,1012.79
27.39,79.45,1012.8
27.38,79.5,1012.76
27.37,79.51,1012.78
27.37,79.59,1012.79
27.37,79.63,1012.78
27.37,79.8,1012.8
27.38,79.68,1012.78
27.38,79.73,1012.8
27.38,79.73,1012.78
27.38,79.67,1012.79
27.38,79.64,1012.78
27.38,79.62,1012.8
27.38,79.58,1012.78
27.38,79.59,1012.77
27.38,79.61,1012.78
27.39,79.67,1012.78
27.41,79.69,1012.77
27.41,79.59,1012.75
27.42,79.51,1012.75
27.43,79.53,1012.77
27.44,79.51,1012.76
27.45,79.52,1012.77
27.45,79.5,1012.76
27.45,79.6,1012.77
27.45,79.75,1012.78
27.44,79.85,1012.75
27.44,79.7,1012.76
27.44,79.55,1012.74
27.44,79.5,1012.78
27.44,79.46,1012.76
27.45,79.54,1012.78
27.45,79.53,1012.77
27.45,79.52,1012.77
27.46,79.51,1012.74
27.47,79.51,1012.77
27.48,79.49,1012.77
27.49,79.47,1012.77
27.49,79.46,1012.78
27.49,79.42,1012.73
27.5,79.45,1012.74
27.5,79.48,1012.75
27.5,79.35,1012.72
27.5,79.22,1012.74
27.5,79.22,1012.76
27.51,79.28,1012.74
27.53,79.33,1012.76
27.53,79.42,1012.73
27.54,79.44,1012.76
27.54,79.5,1012.73
27.54,79.41,1012.75
27.55,79.34,1012.73
27.55,79.33,1012.73
27.54,79.37,1012.73
27.55,79.4,1012.74
27.55,79.27,1012.74
27.55,79.33,1012.72
27.55,79.33,1012.77
27.55,79.34,1012.72
27.55,79.34,1012.71
27.55,79.35,1012.73
27.55,79.41,1012.73
27.55,79.42,1012.74
27.56,79.48,1012.73
27.55,79.34,1012.73
27.55,79.37,1012.74
27.54,79.44,1012.73
27.54,79.39,1012.73
27.53,79.42,1012.68
27.54,79.57,1012.72
27.55,79.42,1012.73
27.54,79.41,1012.75
27.55,79.28,1012.73
27.55,79.21,1012.73
27.55,79.15,1012.72
27.55,79.16,1012.73
27.56,79.36,1012.7
27.55,79.41,1012.69
27.56,79.4,1012.72
27.58,79.39,1012.7
27.56,79.36,1012.7
27.56,79.35,1012.73
27.56,79.36,1012.71
27.55,79.28,1012.72
27.55,79.28,1012.73
27.55,79.29,1012.72
27.56,79.36,1012.67
27.56,79.37,1012.71
27.55,79.47,1012.7
27.55,79.55,1012.7
27.55,79.5,1012.73
27.55,79.47,1012.73
27.54,79.4,1012.68
27.54,79.35,1012.7
27.54,79.37,1012.72
27.54,79.43,1012.68
27.54,79.42,1012.7
27.54,79.31,1012.72
27.56,79.29,1012.71
27.57,79.35,1012.71
27.57,79.5,1012.73
27.57,79.59,1012.69
27.58,79.72,1012.71
27.56,79.95,1012.74
27.55,79.86,1012.7
27.54,79.82,1012.72
27.55,79.81,1012.71
27.54,79.79,1012.7
27.55,79.83,1012.68
27.58,79.91,1012.74
27.58,79.77,1012.72
27.58,79.96,1012.75
27.58,80.05,1012.74
27.59,80.03,1012.72
27.6,79.98,1012.73
27.6,80.05,1012.67
27.62,80.03,1012.73
27.64,80.01,1012.7
27.64,79.81,1012.66
27.65,79.66,1012.66
27.66,79.67,1012.67
27.67,79.6,1012.69
27.69,79.67,1012.68
27.7,79.52,1012.68
27.7,79.43,1012.67
27.71,79.39,1012.63
27.71,79.44,1012.66
27.73,79.52,1012.66
27.74,79.63,1012.68
27.74,79.63,1012.68
27.75,79.65,1012.67
27.75,79.54,1012.65
27.76,79.51,1012.67
27.75,79.44,1012.66
27.75,79.48,1012.67
27.74,79.44,1012.67
27.72,79.31,1012.66
27.71,79.37,1012.67
27.71,79.37,1012.65
27.73,79.39,1012.68
27.73,79.33,1012.65
27.74,79.24,1012.63
27.74,79.09,1012.64
27.74,78.99,1012.65
27.73,78.98,1012.63
27.71,78.92,1012.62
27.7,78.96,1012.63
27.7,78.74,1012.65
27.69,78.67,1012.65
27.7,78.72,1012.63
27.69,78.69,1012.61
27.68,78.88,1012.6
27.69,78.77,1012.62
27.69,78.82,1012.62
27.68,78.9,1012.64
27.69,78.92,1012.63
27.68,78.89,1012.62
27.67,79.01,1012.6
27.67,78.85,1012.61
27.66,78.81,1012.6
27.66,78.69,1012.62
27.65,78.8,1012.62
27.64,78.67,1012.66
27.63,78.79,1012.65
27.64,78.93,1012.64
27.63,78.94,1012.63
27.62,78.92,1012.67
27.62,78.87,1012.65
27.62,78.77,1012.67
27.63,78.79,1012.68
27.63,78.8,1012.65
27.62,78.76,1012.67
27.61,78.98,1012.63
27.61,79.14,1012.67
27.61,79.11,1012.65
27.61,79.04,1012.7
27.61,79.03,1012.7
27.61,79.05,1012.7
27.61,79.09,1012.71
27.6,79.05,1012.63
27.6,79.05,1012.71
27.59,79.23,1012.72
27.59,79.42,1012.7
27.59,79.74,1012.73
27.56,79.59,1012.69
27.56,79.7,1012.68
27.55,79.58,1012.7
27.55,79.61,1012.69
27.57,79.56,1012.71
27.58,79.39,1012.69
27.56,79.23,1012.7
27.57,79.22,1012.7
27.55,79.17,1012.71
27.54,79.2,1012.67
27.55,79.41,1012.72
27.54,79.5,1012.73
27.54,79.88,1012.7
27.55,79.76,1012.68
27.55,79.72,1012.69
27.56,79.83,1012.68
27.6,79.89,1012.74
27.62,79.74,1012.71
27.63,79.71,1012.7
27.64,79.42,1012.68
27.65,79.33,1012.68
27.66,79.23,1012.67
27.66,79.19,1012.68
27.67,79.21,1012.67
27.68,79.15,1012.7
27.68,79.17,1012.7
27.69,79.06,1012.67
27.7,78.94,1012.68
27.71,78.91,1012.72
27.72,78.86,1012.71
27.73,78.86,1012.69
27.74,79.02,1012.7
27.75,79.03,1012.72
27.76,79.08,1012.68
27.75,79.34,1012.69
27.74,79.11,1012.68
27.74,78.97,1012.69
27.73,79.03,1012.71
27.74,79.09,1012.69
27.74,78.9,1012.69
27.74,78.76,1012.68
27.74,78.67,1012.71
27.74,78.79,1012.67
27.73,78.73,1012.69
27.74,78.67,1012.68
27.73,78.66,1012.7
27.73,78.66,1012.68
27.74,78.77,1012.7
27.74,78.81,1012.7
27.74,78.74,1012.7
27.74,78.8,1012.7
27.75,78.82,1012.7
27.76,78.66,1012.72
27.77,78.54,1012.69
27.77,78.49,1012.69
27.77,78.4,1012.68
27.78,78.38,1012.7
27.77,78.37,1012.71
27.77,78.35,1012.71
27.78,78.37,1012.71
27.78,78.32,1012.72
27.78,78.27,1012.69
27.78,78.33,1012.73
27.78,78.26,1012.72
27.77,78.33,1012.72
27.77,78.42,1012.73
27.76,78.52,1012.74
27.75,78.46,1012.74
27.74,78.49,1012.71
