Temp,Humidity,Presure
27.43,78.47,1011.14
27.41,78.57,1011.18
27.4,78.68,1011.17
27.36,78.72,1011.16
27.33,78.86,1011.2
27.33,78.93,1011.18
27.32,78.99,1011.19
27.31,79,1011.17
27.34,79.01,1011.19
27.45,78.91,1011.12
27.49,78.68,1011.09
27.46,78.64,1011.07
27.44,78.68,1011.07
27.43,78.71,1011.1
27.44,78.72,1011.13
27.47,78.71,1011.06
27.51,78.62,1011.07
27.58,78.48,1011.08
27.65,78.33,1011.12
27.63,78.14,1011.09
27.61,78.14,1011.09
27.59,78.22,1011.1
27.6,78.21,1011.11
27.62,78.15,1011.11
27.65,78.09,1011.09
27.69,78.02,1011.08
27.76,77.89,1011.12
27.75,77.81,1011.13
27.72,77.78,1011.12
27.7,77.81,1011.12
27.67,77.91,1011.12
27.66,77.92,1011.13
27.66,77.99,1011.1
27.62,78.13,1011.11
27.59,78.19,1011.09
27.56,78.25,1011.09
27.53,78.37,1011.11
27.49,78.46,1011.1
27.45,78.58,1011.1
27.42,78.66,1011.08
27.4,78.78,1011.11
27.38,78.91,1011.1
27.36,78.94,1011.16
27.34,79.01,1011.18
27.32,79.11,1011.14
27.31,79.2,1011.21
27.3,79.31,1011.2
27.3,79.29,1011.15
27.29,79.36,1011.13
27.3,79.48,1011.18
27.29,79.66,1011.14
27.29,79.68,1011.14
27.28,79.67,1011.16
27.27,79.67,1011.16
27.27,79.66,1011.14
27.27,79.76,1011.2
27.26,79.8,1011.16
27.24,79.69,1011.17
27.23,79.73,1011.18
27.23,79.87,1011.16
27.24,79.93,1011.16
27.31,79.85,1011.16
27.33,79.73,1011.16
27.36,79.62,1011.13
27.36,79.56,1011.17
27.35,79.61,1011.18
27.36,79.61,1011.14
27.37,79.69,1011.18
27.38,79.65,1011.18
27.42,79.57,1011.13
27.44,79.4,1011.15
27.42,79.33,1011.11
27.42,79.32,1011.12
27.4,79.26,1011.12
27.4,79.29,1011.13
27.39,79.34,1011.12
27.38,79.45,1011.12
27.38,79.38,1011.12
27.37,79.38,1011.16
27.35,79.47,1011.12
27.33,79.49,1011.18
27.32,79.56,1011.15
27.3,79.55,1011.17
27.28,79.61,1011.15
27.27,79.7,1011.15
27.25,79.68,1011.14
27.23,79.7,1011.14
27.23,79.72,1011.17
27.2,79.75,1011.14
27.2,79.8,1011.14
27.2,79.83,1011.15
27.18,79.84,1011.12
27.23,79.8,1011.13
27.22,79.77,1011.12
27.22,79.75,1011.14
27.19,79.79,1011.11
27.19,79.83,1011.14
27.2,79.79,1011.12
27.19,79.86,1011.13
27.19,79.81,1011.13
27.17,79.79,1011.11
27.17,79.9,1011.14
27.16,79.94,1011.13
27.16,79.96,1011.12
27.15,79.98,1011.14
27.15,80.03,1011.12
27.17,80.19,1011.14
27.2,80.19,1011.12
27.2,80.16,1011.14
27.2,80.12,1011.1
27.18,80.06,1011.12
27.17,80.05,1011.11
27.16,80.09,1011.13
27.17,80.1,1011.1
27.17,80.09,1011.14
27.2,79.98,1011.12
27.2,79.93,1011.12
27.15,80.02,1011.11
27.15,80.07,1011.14
27.13,80.07,1011.07
27.13,80.21,1011.13
