Temp,Humidity,Presure
28.91,84.36,1008.61
28.99,84.42,1008.65
29.11,84.46,1008.63
29.08,84,1008.63
29.06,84.19,1008.61
29.04,84.46,1008.62
28.99,84.03,1008.65
28.96,83.95,1008.63
29.04,84.11,1008.64
29.18,84.15,1008.65
29.27,83.76,1008.64
29.39,83.82,1008.65
29.38,83.29,1008.65
29.3,82.9,1008.63
29.19,82.97,1008.65
29.22,83.19,1008.61
29.19,83.54,1008.64
29.11,83.67,1008.64
29.05,83.89,1008.64
29.01,84.23,1008.65
28.95,84.1,1008.63
28.91,84.5,1008.62
28.89,85.06,1008.6
28.87,84.85,1008.61
28.84,85.57,1008.64
28.83,85.25,1008.61
28.82,85.3,1008.62
28.81,85.22,1008.61
28.8,85.04,1008.61
28.79,85,1008.63
28.82,84.95,1008.63
28.91,84.74,1008.64
28.96,84.7,1008.65
28.93,84.64,1008.63
28.93,84.95,1008.62
28.89,84.9,1008.62
28.9,85,1008.67
28.92,85.23,1008.64
28.93,84.85,1008.63
28.96,85.01,1008.61
28.98,85.44,1008.61
28.96,85.88,1008.61
28.96,86.18,1008.62
28.95,85.86,1008.63
28.95,85.73,1008.6
28.92,85.52,1008.61
28.87,85.64,1008.63
28.84,85.57,1008.62
28.88,85.23,1008.62
28.94,85.01,1008.63
28.92,85.15,1008.59
28.87,85.3,1008.59
28.84,85.9,1008.62
28.8,85.55,1008.61
28.77,85.29,1008.63
28.87,86.47,1008.62
28.85,85.91,1008.64
28.9,85.62,1008.63
28.87,85.96,1008.63
28.85,86.01,1008.62
28.84,86.55,1008.65
28.78,85.55,1008.6
28.78,86.04,1008.61
28.92,85.69,1008.63
29.03,85.4,1008.61
29.05,85.24,1008.61
29.06,84.95,1008.63
29.02,85.18,1008.61
29,85.38,1008.64
29,85.38,1008.63
28.94,85.15,1008.62
28.92,85.34,1008.64
28.89,85.55,1008.61
28.87,85.59,1008.59
28.85,85.98,1008.62
28.84,86.1,1008.6
28.83,86.06,1008.59
28.84,86.16,1008.6
28.83,86.43,1008.59
28.78,86.14,1008.61
28.77,86.16,1008.63
28.74,85.98,1008.6
28.73,86.47,1008.63
28.71,86.09,1008.64
28.7,86.43,1008.63
28.67,86.31,1008.64
28.66,86.79,1008.63
28.63,86.54,1008.6
28.61,86.46,1008.63
28.61,87.15,1008.64
28.63,87.4,1008.62
28.63,87.34,1008.63
28.6,87.34,1008.64
28.59,86.96,1008.65
28.55,86.75,1008.62
28.54,86.8,1008.62
28.54,86.55,1008.64
28.52,86.46,1008.65
28.6,86.42,1008.68
28.67,86.13,1008.65
28.68,86.39,1008.67
28.69,86.05,1008.69
28.72,86.33,1008.65
28.81,85.79,1008.68
28.94,85.42,1008.68
28.88,86.12,1008.64
28.83,86.29,1008.67
28.78,86.52,1008.63
28.74,86.08,1008.65
28.72,85.92,1008.66
28.7,85.89,1008.65
28.69,85.96,1008.65
28.69,85.99,1008.64
28.68,85.91,1008.66
28.68,86.1,1008.65
28.67,86.21,1008.65
28.67,86.45,1008.66
28.67,86.66,1008.67
